name,current_players,peak_players
Counter-Strike 2,1333194,1812528
Dota 2,572814,644980
PUBG: BATTLEGROUNDS,439503,1329605
Schedule I,185763,455652
Marvel Rivals,164404,315153
Rust,148658,187702
Last Epoch,148349,150214
Apex Legends,143456,194097
Baldur's Gate 3,140143,141887
R.E.P.O.,135822,266908
Bongo Cat,132720,166768
Path of Exile 2,117089,245870
Banana,111317,134823
Monster Hunter Wilds,102122,548047
Wallpaper Engine,99768,138929
Call of Duty®,91565,138335
Spacewar,90647,138329
REMATCH BETA TEST,86476,86476
Grand Theft Auto V Legacy,83930,112750
War Thunder,78779,106391
Tom Clancy's Rainbow Six Siege,76541,137608
Stardew Valley,75297,136302
Delta Force,72192,111605
EA SPORTS FC 25,71527,90742
NARAKA: BLADEPOINT,65254,205593
Football Manager 2024,63870,68467
Grand Theft Auto V Enhanced,58525,135245
Warframe,58327,90468
DayZ,56605,71255
Crosshair X,55513,65998
Dead by Daylight,55293,71375
Red Dead Redemption 2,54146,69716
Hearts of Iron IV,54053,69391
Team Fortress 2,49147,57616
ELDEN RING,48877,74406
VRChat,47198,57505
Euro Truck Simulator 2,44326,52794
RuneScape: Dragonwilds,42872,51971
The Sims™ 4,41649,54193
tModLoader,40034,56298
Sid Meier's Civilization VI,39143,55541
Don't Starve Together,38880,71028
Terraria,38585,53013
7 Days to Die,36219,41257
Overwatch® 2,35396,40105
ARK: Survival Evolved,34435,40178
HELLDIVERS™ 2,34345,74048
Cyberpunk 2077,34084,61274
Valheim,32252,53490
Palworld,31520,63841
RimWorld,31422,37719
Geometry Dash,31185,32551
Total War: WARHAMMER III,31142,39480
The Elder Scrolls V: Skyrim Special Edition,30280,38690
Garry's Mod,29858,33503
Soundpad,29223,39857
Farming Simulator 25,28743,39078
Kingdom Come: Deliverance II,28654,67614
Left 4 Dead 2,28007,41054
Project Zomboid,27982,36713
THRONE AND LIBERTY,27278,47028
Destiny 2,26994,49891
Once Human,26899,35983
Age of Empires II: Definitive Edition,25932,29019
The Binding of Isaac: Rebirth,25782,34202
NBA 2K25,25681,40939
BeamNG.drive,25394,30595
Metro 2033 Redux,25373,50225
Satisfactory,25206,34339
Mount & Blade II: Bannerlord,24923,33405
Waifu,24753,27550
ARK: Survival Ascended,24553,30314
Sultan's Game,24169,45878
Factorio,23737,28206
Crusader Kings III,23070,31752
FINAL FANTASY XIV Online,22810,37434
PAYDAY 2,22766,29253
Split Fiction,22734,146559
Yu-Gi-Oh!  Master Duel,22683,41826
Unturned,21576,34966
Street Fighter™ 6,21541,35893
Crab Game,21083,52351
OBS Studio,20847,26506
Balatro,20798,27219
Europa Universalis IV,20422,23922
Rocket League,20073,33063
Phasmophobia,19690,29191
Lost Ark,19631,20926
The Elder Scrolls Online,19175,20750
Fallout 4,18973,22747
Hunt: Showdown 1896,18853,32705
Black Desert,18516,20571
Sid Meier's Civilization V,18485,21858
Stellaris,18295,23003
Monster Hunter: World,17937,45564
Black Myth: Wukong,17833,39223
SCUM,17798,24835
Dark and Darker,17620,21411
Sons Of The Forest,17415,39476
"Warhammer 40,000: Space Marine 2",17411,19141
